monitorLizard,38,467,436,232
receipt,1,477,955,483
youtube,777,273,874,600
trash,1081,254,455,496
rippingPaper,1107,211,804,545
phone,193,95,845,478
dino,1245,224,607,493
fish,132,397,539,309
coffeeOnSofa,932,350,484,591
watercooler,978,174,911,399
birdFalling,856,116,443,282
plank,231,215,1254,421
blueBoiler,1173,60,655,841
trinkvogel2,1096,237,687,712
waterHose,1,539,418,455
work,874,297,354,442
bed,1550,2,369,990
openDoorInside,953,96,576,889
bench,618,390,385,604
trafficLight2,1,140,364,854
clock,511,551,292,433
toaster,627,124,562,223
chimpanzee,901,43,439,349
reindeers,265,405,725,589
stapler,1487,165,361,469
heron,805,142,369,615
statues,306,195,417,505
watering,622,403,505,522
snip,1145,66,642,437
throw,969,332,802,396
chessBoard,896,488,338,224
disinfectant,204,130,465,864
sparkling2,408,69,740,712
whiteBoard,1379,10,540,984
fly,473,292,358,287
selfie,220,57,391,394
monkey2,747,227,481,411
carStart,917,373,863,473
kettle,1169,138,750,822
bikeUnlocking,1064,223,378,521
penDrawing,1023,780,365,214
yoga,588,14,893,647
ventilator,1464,9,455,972
crow,1711,189,208,237
mail,756,329,347,339
laundry,691,213,668,586
shoot,1522,133,370,669
giraffe,762,175,661,620
trafficLight,999,435,362,409
construction,646,173,225,250
waterbottle,881,366,403,413
robot,745,271,592,621
robot2,401,159,976,666
pedestrian,1351,32,260,248
elevatorWrongSide,1384,209,394,784
bigAnimalBackground,682,358,453,428
gondolaUp,1273,358,454,578
crowBall,1366,202,200,227
mokaPot,709,293,427,347
lake,125,429,609,565
skiLift,903,495,682,497
sealion,1476,682,437,193
shoebill,976,455,464,496
billboard,812,542,302,412
espresso,755,295,219,321
catcafe,849,119,317,309
ballBalance,1135,198,615,577
openDoorOutside,1171,225,278,438
bird,683,662,373,332
lizard,690,581,388,358
toytrainHouses,1048,310,667,377
axolotl,1,108,859,742
fingerTapping,5,411,471,583
bottleString,348,20,558,521
toytrain,901,485,665,464
teabagOut,1200,288,719,706
work2,334,52,704,766
candle,1231,11,545,597
elevatorEmpty,1,220,372,774
conversation,304,10,1270,840
