mokaPot,633,296,283,305
shoebill,975,511,355,441
bird,795,734,209,250
watercooler,1006,164,880,745
coffeeOnSofa,908,308,531,659
fingerTapping,56,529,381,458
elevatorWrongSide,56,174,313,739
plank,176,267,1279,363
openDoorOutside,904,0,580,974
throw,1071,368,677,299
blueBoiler,919,444,868,433
watering,532,418,564,560
waterbottle,897,272,363,519
giraffe,821,195,535,545
fish,212,403,459,286
work2,113,36,914,946
carStart,1097,271,668,620
reindeers,285,460,672,527
axolotl,69,299,750,533
kettle,866,634,876,353
trafficLight,1070,477,201,287
work,793,300,468,687
crowBall,1414,268,83,87
clock,103,174,944,791
statues,389,272,229,372
robot,857,572,804,384
yoga,601,90,757,521
teabagOut,1240,312,613,548
conversation,523,0,1136,879
candle,1418,47,239,341
rippingPaper,1348,280,505,359
snip,1431,81,371,428
bed,244,615,603,337
sparkling2,372,127,344,826
sealion,1512,703,206,136
dino,193,110,490,541
penDrawing,1029,793,296,194
birdFalling,933,81,343,286
trafficLight2,56,256,256,498
bench,692,458,288,529
ballBalance,1246,266,388,721
espresso,692,311,386,381
selfie,292,96,272,891
skiLift,1207,562,268,386
toaster,731,169,339,114
trash,1072,223,240,487
waterHose,906,541,163,298
fly,522,339,155,193
youtube,1070,267,597,345
stapler,1513,192,375,472
openDoorInside,915,184,644,594
whiteBoard,966,46,795,733
laundry,590,81,941,813
ventilator,1402,104,182,879
disinfectant,214,143,433,844
shoot,1680,107,217,707
receipt,867,608,693,283
construction,713,236,103,173
mail,803,413,187,176
lake,258,492,462,495
monkey2,809,236,272,432
crow,1788,248,76,106
trinkvogel2,1304,231,445,672
robot2,539,183,834,505
toytrainHouses,1065,333,664,310
heron,870,184,199,552
chimpanzee,1047,125,266,267
monitorLizard,729,247,375,362
pedestrian,1419,28,128,221
chessBoard,398,180,714,780
toytrain,960,493,960,354
catcafe,920,167,202,148
lizard,862,759,176,161
bikeUnlocking,1163,417,241,231
billboard,729,576,345,299
bottleString,493,34,274,410
bigAnimalBackground,730,400,288,287
elevatorEmpty,56,283,258,702
gondolaUp,1448,317,240,483
phone,1620,623,300,364
