phone,1617,625,297,369
espresso,773,390,174,271
reindeers,327,701,582,293
sealion2,1703,710,77,92
chessBoard,889,517,184,178
bench,684,454,259,538
elevatorWrongSide,34,199,351,676
trafficLight,1062,462,139,299
mokaPot,818,267,233,327
kettle,1571,527,169,343
bird,835,754,153,240
billboard2,1134,793,146,113
crow,1771,253,116,107
watering,846,494,208,287
throw,1478,379,258,306
change,713,691,472,52
yoga,574,162,839,437
toaster,679,162,431,204
walkingUpStairs,808,233,176,722
axolotl,296,426,488,305
waterbottle,1034,517,141,184
monkey,818,310,216,320
monitorLizard,735,284,343,362
toytrain,997,532,532,312
shoebill,1039,503,265,428
giraffe,845,236,492,505
robot,1068,808,321,174
trash,1126,291,136,404
workingAlarm,790,888,332,106
plank,191,276,1262,317
crowBall,1391,246,119,128
pedestrian,776,339,311,631
hippo,867,616,486,377
ballBalance,1301,244,320,368
paperball,6,6,467,984
crossroad,531,722,570,150
monkey2,785,252,234,291
beer,14,36,188,760
shoot,1679,101,215,664
elevatorInside,724,12,701,982
booting,1137,336,479,318
statues,360,286,258,410
clock,351,515,456,447
openDoorInside,1240,207,206,460
kiosk,314,194,468,800
sparkling2,787,438,382,548
conversation,1218,236,417,647
stapler,1506,234,413,412
catcafe,928,184,178,97
fly,541,324,119,159
candle,1459,41,167,461
heron,848,168,238,569
bigAnimalBackground,699,394,304,375
work,863,330,299,340
sparkling,462,638,330,356
trafficLight2,35,280,274,533
sheepBall,624,552,294,189
mail,803,327,219,272
clock2,1346,532,188,213
walkingDownStairs,872,81,170,525
axolotl2,1014,586,177,154
lake,217,553,450,441
toytrain2,303,559,886,246
laundry,783,575,385,243
billboard,414,510,273,340
robot2,555,496,282,293
ventilator,1400,126,171,845
coffeeOnSofa,954,303,410,691
selfie,292,97,274,897
bed,1461,772,230,221
elevatorEmpty,1,269,318,725
sealion,1607,719,94,81
waterglass,731,120,389,631
work2,783,434,321,271
lizard,856,744,211,155
openDoorOutside,1284,357,143,213
fish,231,463,318,153
receipt,786,709,803,188
chimpanzee,1064,124,211,286
waterHose,882,544,149,324
